id,created_at,user_name,text,lang
1410326185469530116,2021-06-30 19:55:39+00:00,LowResGamr,"@Liam_Creed1 @MeyerRants @TWTHEREDDRAGON @pcgamer This is Todd were talking about here, he'll beg Microsoft to let… https://t.co/r2G6fhruBx",en
1410326177395453960,2021-06-30 19:55:37+00:00,Gregor Reimling #AzureBonn,"RT @AzureSummitLive: Come and Join @rickvdbosch, Microsoft Azure MVP &amp; Principal Cloud Architect, who will be speaking about ""Azure Static…",en
1410326089050775553,2021-06-30 19:55:16+00:00,احمد محمود,"third side note, in Windows 10, Microsoft was working like a fake system installed with Windows, where you can add… https://t.co/HYpJ2844DM",en
1410326070423965702,2021-06-30 19:55:12+00:00,Common sense isn’t so common anymore,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410325963628494851,2021-06-30 19:54:46+00:00,Ike Ji Obi 🇷🇺,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410325933475598343,2021-06-30 19:54:39+00:00,rick westcott,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410325927007981575,2021-06-30 19:54:38+00:00,Lee Davies,RT @VisualStudio: Hello #Unity developers! Wondering why use a debugger instead of Debug.Log() when troubleshooting Unity games? Check out…,en
1410325915834458118,2021-06-30 19:54:35+00:00,PowerBiPros,"RT @shan_gsd: Thinking about joining the #da100 club?! 

Video: https://t.co/pb5rjj2lWF

Learn: https://t.co/xxs362iYcw

Blogs: https://t.c…",en
1410325914039291914,2021-06-30 19:54:35+00:00,Lima3,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410325891587133445,2021-06-30 19:54:29+00:00,Shawn Irvin,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410325841263968258,2021-06-30 19:54:17+00:00,Jeff Davis,RT @RWMaloneMD: Back home from interviews with @glennbeck and #EpicTimes today.  Thanks to all for your support.  I suppose getting #censor…,en
1410325831965188103,2021-06-30 19:54:15+00:00,Rhonda Hensley,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410325782732460033,2021-06-30 19:54:03+00:00,Tim,"RT @ALumia_Italia: The new Microsoft Store app has been developed by the most known WP developers (myTube dev, 6tag dev...), I'm not surpri…",en
1410325741355646980,2021-06-30 19:53:53+00:00,Petitor Veritatis,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410325659650596873,2021-06-30 19:53:34+00:00,Tom Nook 🦃 #TurkeyMode,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410325641719914500,2021-06-30 19:53:30+00:00,JoanofArc⛪🇺🇸,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410325449138327552,2021-06-30 19:52:44+00:00,EngSoon,Microsoft Azure Defender for IoT Architecture https://t.co/93INrqMzgH #MicrosoftSecurity,en
1410325338870239236,2021-06-30 19:52:18+00:00,Brian Ziskie 🇺🇸🇵🇱,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
1410325268732973059,2021-06-30 19:52:01+00:00,Fake Game Titles Bot,Super Sans Argues With Snake about a Bottle of Milk  DX &amp; Knuckles 64 (PSP Exclusive!) (Featuring Dante From The De… https://t.co/fItNhGeihi,en
1410325264492642308,2021-06-30 19:52:00+00:00,Kratos & Chief,@NanoPolymath @Dealer_Gaming Okay but I think it’s naive to think that Sony and Microsoft became million dollars co… https://t.co/snwFIBQ3vf,en
1410325258352087046,2021-06-30 19:51:58+00:00,Amofa Samuel,@satyanadella @Microsoft https://t.co/52DEvZbGez,und
1410325203654221829,2021-06-30 19:51:45+00:00,Adam Korzeniewski 🇺🇸,RT @disclosetv: JUST IN - Federal law enforcement agencies conduct clandestine surveillance of thousands of US citizens with the help of Mi…,en
