id,created_at,user_name,text,lang
1399451043470233603,2021-05-31 19:41:43+00:00,the daughter,"spending my praetorium runs trying to get my microsoft account HA bitch guess you thought thered be anything on there, idiot",en
1399451026311192577,2021-05-31 19:41:39+00:00,Augusta Schmidt,@kathleenhersh @PaulaabdalaE I was loving OneNote until I lost my institutional e-mail. As soon as I finished my pr… https://t.co/wSGgZ7P3hP,en
1399451021672333315,2021-05-31 19:41:38+00:00,George Moskov,"RT @NiceHashMining: Cryptocurrencies and mining should be user friendly and encouraging, not scary and complicated. This is why we are runn…",en
1399450898917597184,2021-05-31 19:41:09+00:00,Chillaxxxing,Bought a laptop with @Windows suddenly been trying blue screen the few days when logging in asking me to change bro… https://t.co/96O6TNufLv,en
1399450801882419202,2021-05-31 19:40:46+00:00,Daniel Hörberg,"RT @NiceHashMining: Cryptocurrencies and mining should be user friendly and encouraging, not scary and complicated. This is why we are runn…",en
1399450453683970058,2021-05-31 19:39:23+00:00,Kake Yun 🧢,"RT @NiceHashMining: Cryptocurrencies and mining should be user friendly and encouraging, not scary and complicated. This is why we are runn…",en
1399450414899208195,2021-05-31 19:39:14+00:00,Sjoerd Alkema,"RT @xillio: One week to go!
Contact us to win the last FREE full conference pass for the Microsoft 365 Collaboration Conference.
@jwillie a…",en
1399450369483108355,2021-05-31 19:39:03+00:00,Don,@sharmaabhishek3 @akshayvarshney6 I have zero knowledge of the Indian market. I'm speaking of what software compani… https://t.co/BD1EDtN5vV,en
1399450287375409152,2021-05-31 19:38:43+00:00,Greenlight Marketing_Research,"#Microsoft #EventMarketing
As marketers prepare for a shift (back) to in-person and hybrid experiences, it might be… https://t.co/nQrYJ6yTWU",en
1399450217926119425,2021-05-31 19:38:27+00:00,Mandalore_Great,@BurafluxGaming @Microsoft @Halo Of all the days to be tasked with cleaning the house...,en
1399450018193448963,2021-05-31 19:37:39+00:00,Elmseekho,Microsoft Edge update looks to be a bit of a buggy mess https://t.co/sTivLnd3tZ,en
